4	Arena Sebastiano	Neurologia
29	Belfiore Jessica	Psicologia clinica
21	Bottaro Giuseppe	Cardiologia
19	Cantone Saveria Maria	Ginecologia
16	Cavallo Matteo	Chirurgia vascolare
32	Centro Analisi Cliniche Dott. Angelo Murabito & C. S.A.S.	Analisi cliniche
13	Crafa Andrea	Endocrinologia
18	D'Agosta Giovanni	Chirurgia plastica
8	D'Amico Bruna	Medicina estetica
11	Di Dio Agata	Urologia
24	Di Mulo Giacomo	Nutrizione
15	Di Salvo Antonino	Dermatologia
28	Dimarco Stefano	Dermatologia
12	Distefano Rosario Emanuele	Ginecologia
33	Genetica Line S.r.l.	Analisi cliniche
20	Liguori Livia	Dermatologia
10	Maccarrone Vincenzo	Reumatologia
35	Manno Ilaria	Medicina estetica
22	Martino Barbara	Senologia
23	Maugeri Claudia	Chirurgia maxillo-facciale
34	Palamidessi Pietro	Pneumologia
26	PatanŠ Giorgia	Tecnico sanitario
27	Porto Morena	Allergologia
9	Rapisarda Giovanni	Medicina interna
36	Riolo Gabriele	Medicina estetica
25	Russo Ilenia	Ostetricia
14	Scuderi Rosario	Medicina interna
37	Spitaleri Daniele	Ecografia
30	Torrisi Giulia	Ecografia
17	Zappal… Simona	Dietologia
